stage,observation,noisy_observation,small_prob,large_prob,prediction,true_target,correct,trial_id,experiment,description
gaze,0,1,0.44999999999999996,0.55,1,0,0,8,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,1,0.2674418604651163,0.7325581395348837,1,0,0,8,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.7216981132075471,0.2783018867924528,0,0,1,8,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,1,0.44999999999999996,0.55,1,0,0,9,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.665289256198347,0.33471074380165294,0,0,1,9,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9069037656903766,0.09309623430962348,0,0,1,9,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,10,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,10,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,10,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,11,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,11,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,11,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,12,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,12,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,12,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,13,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,13,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,13,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,1,0.44999999999999996,0.55,1,0,0,14,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.665289256198347,0.33471074380165294,0,0,1,14,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9069037656903766,0.09309623430962348,0,0,1,14,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,1,0.44999999999999996,0.55,1,0,0,15,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.665289256198347,0.33471074380165294,0,0,1,15,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9069037656903766,0.09309623430962348,0,0,1,15,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,16,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,1,0.33471074380165294,0.665289256198347,1,0,0,16,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.767241379310345,0.23275862068965514,0,0,1,16,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,17,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,17,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,1,0.2783018867924528,0.7216981132075471,1,0,0,17,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,18,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,18,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,18,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,1,0.44999999999999996,0.55,1,0,0,19,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.665289256198347,0.33471074380165294,0,0,1,19,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,1,0.23275862068965514,0.767241379310345,1,0,0,19,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,20,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,20,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,20,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,21,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,21,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,21,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,22,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,22,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,22,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,23,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,23,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,1,0.2783018867924528,0.7216981132075471,1,0,0,23,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,24,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,24,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,24,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,25,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,25,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,25,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,26,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,26,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,26,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,27,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,27,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,27,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,28,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,28,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,1,0.2783018867924528,0.7216981132075471,1,0,0,28,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,29,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,29,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,29,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,1,0.44999999999999996,0.55,1,0,0,30,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.665289256198347,0.33471074380165294,0,0,1,30,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9069037656903766,0.09309623430962348,0,0,1,30,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,31,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,31,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,31,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,1,0.44999999999999996,0.55,1,0,0,32,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,1,0.2674418604651163,0.7325581395348837,1,0,0,32,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.7216981132075471,0.2783018867924528,0,0,1,32,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,33,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,1,0.33471074380165294,0.665289256198347,1,0,0,33,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.767241379310345,0.23275862068965514,0,0,1,33,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,34,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,34,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,34,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,35,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,35,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,35,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,36,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,36,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,36,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,37,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,37,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,37,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,38,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,38,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,1,0.2783018867924528,0.7216981132075471,1,0,0,38,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,39,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,39,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,39,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,40,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,1,0.33471074380165294,0.665289256198347,1,0,0,40,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.767241379310345,0.23275862068965514,0,0,1,40,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,41,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,41,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,41,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,42,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,42,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,42,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,43,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,43,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,43,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,44,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,1,0.33471074380165294,0.665289256198347,1,0,0,44,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.767241379310345,0.23275862068965514,0,0,1,44,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,45,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,45,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,45,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,46,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,46,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,46,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,47,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,47,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,47,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,48,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,48,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,48,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,49,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,49,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,49,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,50,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,50,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,50,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,51,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,51,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,51,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,52,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,52,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,52,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,53,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,1,0.33471074380165294,0.665289256198347,1,0,0,53,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.767241379310345,0.23275862068965514,0,0,1,53,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,54,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,54,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,54,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,55,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,1,0.33471074380165294,0.665289256198347,1,0,0,55,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.767241379310345,0.23275862068965514,0,0,1,55,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,56,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,56,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,1,0.2783018867924528,0.7216981132075471,1,0,0,56,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,1,0.44999999999999996,0.55,1,0,0,57,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.665289256198347,0.33471074380165294,0,0,1,57,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9069037656903766,0.09309623430962348,0,0,1,57,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,58,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,58,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,1,0.2783018867924528,0.7216981132075471,1,0,0,58,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,1,0.44999999999999996,0.55,1,0,0,59,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.665289256198347,0.33471074380165294,0,0,1,59,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9069037656903766,0.09309623430962348,0,0,1,59,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,60,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,60,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,60,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,61,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,61,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,61,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,62,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,62,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,62,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,1,0.44999999999999996,0.55,1,0,0,63,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.665289256198347,0.33471074380165294,0,0,1,63,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9069037656903766,0.09309623430962348,0,0,1,63,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,64,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,64,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,64,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,65,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,65,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,65,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,66,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,66,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,66,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,67,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,67,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,67,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,68,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,1,0.33471074380165294,0.665289256198347,1,0,0,68,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.767241379310345,0.23275862068965514,0,0,1,68,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,69,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,69,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,69,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,70,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,70,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,1,0.2783018867924528,0.7216981132075471,1,0,0,70,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,71,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,1,0.33471074380165294,0.665289256198347,1,0,0,71,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.767241379310345,0.23275862068965514,0,0,1,71,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,72,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,72,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,72,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,73,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,73,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,73,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,74,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,74,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,74,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,75,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,75,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,75,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,76,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,76,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,76,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,77,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,77,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,77,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,78,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,78,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,78,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,79,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,79,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,79,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,80,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,80,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,80,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,81,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,81,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,81,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,1,0.44999999999999996,0.55,1,0,0,82,all_cues_correct_small,All cues correctly indicate the small object.
